"","SSL SCORE","PREDICTOR RAT AGE AT LATEST ARREST","PREDICTOR RAT VICTIM SHOOTING INCIDENTS","PREDICTOR RAT VICTIM BATTERY OR ASSAULT","PREDICTOR RAT ARRESTS VIOLENT OFFENSES","PREDICTOR RAT GANG AFFILIATION","PREDICTOR RAT NARCOTIC ARRESTS","PREDICTOR RAT TREND IN CRIMINAL ACTIVITY","PREDICTOR RAT UUW ARRESTS","SEX CODE CD","RACE CODE CD","WEAPON I","DRUG I","AGE GROUP","AGE TO","STOP ORDER NO","PAROLEE I","LATEST DATE","LATEST DIST","MAJORITY DIST","DLST","LATEST DIST RES","WEAPONS ARR CNT","LATEST WEAPON ARR DATE","NARCOTICS ARR CNT","LATEST NARCOTIC ARR DATE","IDOC RES CITY","IDOC RES STATE CODE","IDOC RES ZIP CODE","IDOC CPD DIST","CPD ARREST I","DOMESTIC ARR CNT","LATEST DOMESTIC ARR DATE","AGE CURR","SSL LAST PTV DATE","TRAP STATUS","RAW SSL SCORE","HEAT SCORE","RAW_HEAT_SCORE","STATUS I","PRE RAW HEAT SCORE","TRAP FLAGS","SSL FLAGS","LATITUDE","LONGITUDE","CENSUS TRACT","COMMUNITY AREA","LOCATION","District"
"109",500,"less than 20",2,3,3,1,0,-1.1,0,"M","BLK","N","N","20-30","20-30",NA,"Y",2016,6,6,"IL",6,NA,NA,NA,NA,"CHICAGO","IL",60608,NA,"Y",NA,NA,"20-30",2016,NA,0.1387,500,0.1387,"Y",13870,NA,6,41.7550528175001,-87.6002665897048,17031691500,"GREATER GRAND CROSSING","(41.7550528175001, -87.6002665897048)",6
"110",500,"less than 20",1,1,4,1,1,-1.9,1,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2016,6,8,"IL",6,NA,NA,1,2013,NA,NA,NA,NA,"Y",4,2016,"less than 20",2012,NA,0.1355,500,0.1355,"Y",13550,NA,8,41.7471101006563,-87.6568839344924,17031710700,"AUBURN GRESHAM","(41.7471101006563, -87.6568839344924)",6
"111",500,"less than 20",0,0,6,1,0,2.5,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,6,6,NA,6,1,2013,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12669,500,0.12669,"Y",12669,NA,NA,41.7395016368412,-87.6583001537865,17031711100,"AUBURN GRESHAM","(41.7395016368412, -87.6583001537865)",6
"112",500,"less than 20",2,2,1,1,0,-0.3,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,4,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12834,500,0.12834,"Y",12834,NA,NA,41.7458351088611,-87.591788046123,17031834300,"AVALON PARK","(41.7458351088611, -87.591788046123)",6
"113",498,"less than 20",2,2,2,1,3,-1.8,0,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2015,6,6,"IL",6,1,2012,2,2014,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2014,3,0.12636,498,0.12636,"Y",12636,NA,6,41.7546810947371,-87.6198471519578,17031691300,"GREATER GRAND CROSSING","(41.7546810947371, -87.6198471519578)",6
"114",495,"less than 20",1,2,6,1,0,-0.5,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12588,495,0.12588,"Y",12588,NA,NA,41.748627097568,-87.6014511858359,17031440101,"CHATHAM","(41.748627097568, -87.6014511858359)",6
"115",487,"less than 20",1,1,3,1,0,0.6,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12431,487,0.12431,"Y",12431,NA,NA,41.7546810947371,-87.6198471519578,17031691300,"GREATER GRAND CROSSING","(41.7546810947371, -87.6198471519578)",6
"116",486,"less than 20",1,1,2,1,0,0.6,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,8,3,"IL",6,1,2013,1,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.1241,486,0.1241,"Y",12410,NA,3,41.7529891708503,-87.7237837364116,17031700200,"ASHBURN","(41.7529891708503, -87.7237837364116)",6
"117",484,"less than 20",2,2,0,1,3,-0.1,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2015,3,3,NA,6,NA,NA,1,2015,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12374,484,0.12374,"Y",12374,NA,3,41.7766914505893,-87.610693252608,17031420700,"WOODLAWN","(41.7766914505893, -87.610693252608)",6
"118",484,"less than 20",0,0,4,1,0,1.4,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,6,6,NA,6,1,2016,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12382,484,0.12382,"Y",12382,NA,NA,41.742475820453,-87.6300404373747,17031842400,"CHATHAM","(41.742475820453, -87.6300404373747)",6
